ask	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	bid	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9
58993.12467	58891.28039	58894.32714	58861.51	58855.14159	58868.11	58881.05	58884.06195	58915.47391	58912.44187	58908.44	58817.09513	58736.99	58727.56	58693.71	58687.54	58696.23728	58710.57	58721.54	58736.54611	58734.86974	58740.38	
59012.34	58894.32714	58861.51	58855.14159	58868.11	58881.05	58884.06195	58915.47391	58912.44187	58908.44	58905.95	58837.02846	58727.56	58693.71	58687.54	58696.23728	58710.57	58721.54	58736.54611	58734.86974	58740.38	58731.32	
59028.96	58861.51	58855.14159	58868.11	58881.05	58884.06195	58915.47391	58912.44187	58908.44	58905.95	58923.79	58847.9	58693.71	58687.54	58696.23728	58710.57	58721.54	58736.54611	58734.86974	58740.38	58731.32	58746.81301	
59023.37	58855.14159	58868.11	58881.05	58884.06195	58915.47391	58912.44187	58908.44	58905.95	58923.79	58939.02	58848.75878	58687.54	58696.23728	58710.57	58721.54	58736.54611	58734.86974	58740.38	58731.32	58746.81301	58767.65	
58970.66	58868.11	58881.05	58884.06195	58915.47391	58912.44187	58908.44	58905.95	58923.79	58939.02	58957.12	58799.78828	58696.23728	58710.57	58721.54	58736.54611	58734.86974	58740.38	58731.32	58746.81301	58767.65	58784.08	
58972.39351	58881.05	58884.06195	58915.47391	58912.44187	58908.44	58905.95	58923.79	58939.02	58957.12	58963.31	58802.88	58710.57	58721.54	58736.54611	58734.86974	58740.38	58731.32	58746.81301	58767.65	58784.08	58791.95591	
58963.65611	58884.06195	58915.47391	58912.44187	58908.44	58905.95	58923.79	58939.02	58957.12	58963.31	58930.53449	58797.06	58721.54	58736.54611	58734.86974	58740.38	58731.32	58746.81301	58767.65	58784.08	58791.95591	58760.31	
58980.49363	58915.47391	58912.44187	58908.44	58905.95	58923.79	58939.02	58957.12	58963.31	58930.53449	58937.5	58817.3	58736.54611	58734.86974	58740.38	58731.32	58746.81301	58767.65	58784.08	58791.95591	58760.31	58771.72	
59011.56201	58912.44187	58908.44	58905.95	58923.79	58939.02	58957.12	58963.31	58930.53449	58937.5	58955.27981	58840.13	58734.86974	58740.38	58731.32	58746.81301	58767.65	58784.08	58791.95591	58760.31	58771.72	58777.26384	
59023.84	58908.44	58905.95	58923.79	58939.02	58957.12	58963.31	58930.53449	58937.5	58955.27981	58960.51	58849.40804	58740.38	58731.32	58746.81301	58767.65	58784.08	58791.95591	58760.31	58771.72	58777.26384	58788.59917	
59021.17	58905.95	58923.79	58939.02	58957.12	58963.31	58930.53449	58937.5	58955.27981	58960.51	58966.44	58856.89	58731.32	58746.81301	58767.65	58784.08	58791.95591	58760.31	58771.72	58777.26384	58788.59917	58790.51072	
59026.02	58923.79	58939.02	58957.12	58963.31	58930.53449	58937.5	58955.27981	58960.51	58966.44	58963.21	58854.88101	58746.81301	58767.65	58784.08	58791.95591	58760.31	58771.72	58777.26384	58788.59917	58790.51072	58798.21	
59018.68	58939.02	58957.12	58963.31	58930.53449	58937.5	58955.27981	58960.51	58966.44	58963.21	58963.08	58852.86	58767.65	58784.08	58791.95591	58760.31	58771.72	58777.26384	58788.59917	58790.51072	58798.21	58803.29	
59026.02	58957.12	58963.31	58930.53449	58937.5	58955.27981	58960.51	58966.44	58963.21	58963.08	58965.44	58853.31077	58784.08	58791.95591	58760.31	58771.72	58777.26384	58788.59917	58790.51072	58798.21	58803.29	58793.03	
59035.03	58963.31	58930.53449	58937.5	58955.27981	58960.51	58966.44	58963.21	58963.08	58965.44	58967.94	58857.5898	58791.95591	58760.31	58771.72	58777.26384	58788.59917	58790.51072	58798.21	58803.29	58793.03	58797.61747	
59048.38	58930.53449	58937.5	58955.27981	58960.51	58966.44	58963.21	58963.08	58965.44	58967.94	58977.69	58875.29493	58760.31	58771.72	58777.26384	58788.59917	58790.51072	58798.21	58803.29	58793.03	58797.61747	58814.97	
59020.0	58937.5	58955.27981	58960.51	58966.44	58963.21	58963.08	58965.44	58967.94	58977.69	59006.36013	58851.06507	58771.72	58777.26384	58788.59917	58790.51072	58798.21	58803.29	58793.03	58797.61747	58814.97	58828.65472	
59030.88	58955.27981	58960.51	58966.44	58963.21	58963.08	58965.44	58967.94	58977.69	59006.36013	59012.08586	58862.45713	58777.26384	58788.59917	58790.51072	58798.21	58803.29	58793.03	58797.61747	58814.97	58828.65472	58834.41582	
59053.87	58960.51	58966.44	58963.21	58963.08	58965.44	58967.94	58977.69	59006.36013	59012.08586	59019.31342	58879.48103	58788.59917	58790.51072	58798.21	58803.29	58793.03	58797.61747	58814.97	58828.65472	58834.41582	58844.52905	
59065.3	58966.44	58963.21	58963.08	58965.44	58967.94	58977.69	59006.36013	59012.08586	59019.31342	58991.8378	58899.86381	58790.51072	58798.21	58803.29	58793.03	58797.61747	58814.97	58828.65472	58834.41582	58844.52905	58814.12951	
59066.04	58963.21	58963.08	58965.44	58967.94	58977.69	59006.36013	59012.08586	59019.31342	58991.8378	58993.12467	58896.69186	58798.21	58803.29	58793.03	58797.61747	58814.97	58828.65472	58834.41582	58844.52905	58814.12951	58817.09513	
59073.99	58963.08	58965.44	58967.94	58977.69	59006.36013	59012.08586	59019.31342	58991.8378	58993.12467	59012.34	58904.04124	58803.29	58793.03	58797.61747	58814.97	58828.65472	58834.41582	58844.52905	58814.12951	58817.09513	58837.02846	
59066.53462	58965.44	58967.94	58977.69	59006.36013	59012.08586	59019.31342	58991.8378	58993.12467	59012.34	59028.96	58899.46	58793.03	58797.61747	58814.97	58828.65472	58834.41582	58844.52905	58814.12951	58817.09513	58837.02846	58847.9	
59073.45463	58967.94	58977.69	59006.36013	59012.08586	59019.31342	58991.8378	58993.12467	59012.34	59028.96	59023.37	58895.89308	58797.61747	58814.97	58828.65472	58834.41582	58844.52905	58814.12951	58817.09513	58837.02846	58847.9	58848.75878	
59054.51795	58977.69	59006.36013	59012.08586	59019.31342	58991.8378	58993.12467	59012.34	59028.96	59023.37	58970.66	58884.37	58814.97	58828.65472	58834.41582	58844.52905	58814.12951	58817.09513	58837.02846	58847.9	58848.75878	58799.78828	
59055.26856	59006.36013	59012.08586	59019.31342	58991.8378	58993.12467	59012.34	59028.96	59023.37	58970.66	58972.39351	58884.59	58828.65472	58834.41582	58844.52905	58814.12951	58817.09513	58837.02846	58847.9	58848.75878	58799.78828	58802.88	
59054.00608	59012.08586	59019.31342	58991.8378	58993.12467	59012.34	59028.96	59023.37	58970.66	58972.39351	58963.65611	58890.05	58834.41582	58844.52905	58814.12951	58817.09513	58837.02846	58847.9	58848.75878	58799.78828	58802.88	58797.06	
59037.36578	59019.31342	58991.8378	58993.12467	59012.34	59028.96	59023.37	58970.66	58972.39351	58963.65611	58980.49363	58865.56	58844.52905	58814.12951	58817.09513	58837.02846	58847.9	58848.75878	58799.78828	58802.88	58797.06	58817.3	
59034.75	58991.8378	58993.12467	59012.34	59028.96	59023.37	58970.66	58972.39351	58963.65611	58980.49363	59011.56201	58867.7	58814.12951	58817.09513	58837.02846	58847.9	58848.75878	58799.78828	58802.88	58797.06	58817.3	58840.13	
59035.01566	58993.12467	59012.34	59028.96	59023.37	58970.66	58972.39351	58963.65611	58980.49363	59011.56201	59023.84	58864.06	58817.09513	58837.02846	58847.9	58848.75878	58799.78828	58802.88	58797.06	58817.3	58840.13	58849.40804
